,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max_Temp,Wind_Speed
0,Bubaque,0,GW,1581544763,70,11.28,11.28,26.63,7.11
1,Rikitea,100,PF,1581544287,78,-23.12,-23.12,26.17,7.83
2,New Norfolk,90,AU,1581544766,76,-42.78,-42.78,15.56,1.5
3,Anupshahr,1,IN,1581544768,71,28.37,28.37,13.81,4.24
4,Tasiilaq,100,GL,1581544557,82,65.61,65.61,-8.51,17.74
5,Vostok,100,RU,1581544771,97,46.49,46.49,-3.12,0.88
6,Carnarvon,40,AU,1581544669,83,-24.87,-24.87,23.0,5.7
7,Shetpe,71,KZ,1581544774,92,44.17,44.17,-1.8,3.31
8,Faanui,21,PF,1581544531,78,-16.48,-16.48,27.81,6.43
9,Mataura,100,NZ,1581544567,92,-46.19,-46.19,14.44,3.58
10,Port Hardy,40,CA,1581544780,75,50.7,50.7,7.0,4.6
11,Gagra,90,GE,1581544781,80,43.33,43.33,5.0,3.0
12,Kamina,100,CD,1581544783,91,-8.74,-8.74,19.52,1.36
13,Flinders,75,AU,1581544689,100,-34.58,-34.58,23.33,5.1
14,Hilo,20,US,1581544247,57,19.73,19.73,27.0,4.1
15,Ancud,20,CL,1581544788,51,-41.87,-41.87,17.0,5.1
16,Fortuna,20,US,1581544790,81,40.6,40.6,13.33,6.7
17,Alihe,100,CN,1581544792,91,50.57,50.57,-14.9,1.39
18,Avarua,100,CK,1581544393,78,-21.21,-21.21,28.0,5.7
19,Kapaa,75,US,1581544541,73,22.08,22.08,24.0,2.6
20,Luderitz,1,NA,1581544389,82,-26.65,-26.65,19.0,2.1
21,Ushuaia,40,AR,1581544380,57,-54.8,-54.8,11.0,11.3
22,Jamestown,20,US,1581544746,55,42.1,42.1,3.0,4.1
23,Mahon,100,ES,1581544802,87,39.89,39.89,11.0,1.5
24,Yellowknife,40,CA,1581544266,67,62.46,62.46,-30.56,3.6
25,Pevek,0,RU,1581544806,71,69.7,69.7,-20.45,1.04
26,Iqaluit,20,CA,1581544808,61,63.75,63.75,-30.56,6.2
27,Mahebourg,40,MU,1581544225,83,-20.41,-20.41,27.0,5.7
28,Longyearbyen,20,SJ,1581544399,60,78.22,78.22,-15.0,5.7
29,Puerto Ayora,40,EC,1581544387,66,-0.74,-0.74,30.0,9.3
30,Boda,30,CF,1581544814,23,4.32,4.32,23.08,1.92
31,Norman Wells,75,CA,1581544720,68,65.28,65.28,-26.0,4.1
32,Vaini,75,TO,1581544517,78,-21.2,-21.2,28.0,4.6
33,Taoudenni,0,ML,1581544819,35,22.68,22.68,24.01,4.72
34,Roebourne,0,AU,1581544821,63,-20.78,-20.78,26.8,4.63
35,Bilma,98,NE,1581544823,19,18.69,18.69,15.38,1.66
36,Turukhansk,100,RU,1581544825,94,65.82,65.82,-14.54,5.2
37,Atuona,0,PF,1581544521,77,-9.8,-9.8,27.47,7.55
38,Waslala,40,NI,1581544828,54,13.23,13.23,26.0,3.1
